Date,Region_Name,Area_Code,Average_Price_SA
1995-01-01,England,E92000001,50619
1995-01-01,Wales,W92000004,40567
1995-01-01,London,E12000007,79601
1995-01-01,East of England,E12000006,56587
1995-01-01,North West,E12000002,41392
1995-01-01,South East,E12000008,65089
1995-01-01,West Midlands Region,E12000005,46953
1995-01-01,South West,E12000009,52937
1995-01-01,East Midlands,E12000004,44412
1995-01-01,Yorkshire and The Humber,E12000003,42832
1995-01-01,North East,E12000001,40604
1995-01-01,England and Wales,K04000001,49985
1995-02-01,England,E92000001,50879
1995-02-01,Wales,W92000004,40365
1995-02-01,South East,E12000008,65190
1995-02-01,Yorkshire and The Humber,E12000003,42674
1995-02-01,East Midlands,E12000004,44936
1995-02-01,East of England,E12000006,56550
1995-02-01,North West,E12000002,41393
1995-02-01,South West,E12000009,52854
1995-02-01,North East,E12000001,41077
1995-02-01,London,E12000007,79587
1995-02-01,West Midlands Region,E12000005,47740
1995-02-01,England and Wales,K04000001,49951
1995-03-01,Wales,W92000004,39909
1995-03-01,England,E92000001,50530
1995-03-01,North East,E12000001,40478
1995-03-01,West Midlands Region,E12000005,47735
1995-03-01,East of England,E12000006,56472
1995-03-01,Yorkshire and The Humber,E12000003,43122
1995-03-01,East Midlands,E12000004,44299
1995-03-01,London,E12000007,79786
1995-03-01,South West,E12000009,52269
1995-03-01,North West,E12000002,41677
1995-03-01,South East,E12000008,65466
1995-03-01,England and Wales,K04000001,49847
1995-04-01,England,E92000001,50442
1995-04-01,Wales,W92000004,39540
1995-04-01,London,E12000007,79806
1995-04-01,East of England,E12000006,56277
1995-04-01,Yorkshire and The Humber,E12000003,42849
1995-04-01,South West,E12000009,52470
1995-04-01,South East,E12000008,65264
1995-04-01,North West,E12000002,40974
1995-04-01,North East,E12000001,40006
1995-04-01,East Midlands,E12000004,44026
1995-04-01,West Midlands Region,E12000005,47581
1995-04-01,England and Wales,K04000001,49699
1995-05-01,England,E92000001,50245
1995-05-01,Wales,W92000004,39759
1995-05-01,South East,E12000008,64964
1995-05-01,Yorkshire and The Humber,E12000003,41918
1995-05-01,London,E12000007,80298
1995-05-01,South West,E12000009,52481
1995-05-01,North East,E12000001,40374
1995-05-01,West Midlands Region,E12000005,47771
1995-05-01,East of England,E12000006,55876
1995-05-01,East Midlands,E12000004,43915
1995-05-01,North West,E12000002,40632
1995-05-01,England and Wales,K04000001,49541
1995-06-01,England,E92000001,50160
1995-06-01,Wales,W92000004,40345
1995-06-01,North East,E12000001,39528
1995-06-01,South West,E12000009,52216
1995-06-01,North West,E12000002,40597
1995-06-01,South East,E12000008,65597
1995-06-01,West Midlands Region,E12000005,47523
1995-06-01,Yorkshire and The Humber,E12000003,42381
1995-06-01,East Midlands,E12000004,43754
1995-06-01,London,E12000007,80294
1995-06-01,East of England,E12000006,55479
1995-06-01,England and Wales,K04000001,49491
1995-07-01,England,E92000001,49975
1995-07-01,Wales,W92000004,40455
1995-07-01,South East,E12000008,64776
1995-07-01,North East,E12000001,40353
1995-07-01,North West,E12000002,40429
1995-07-01,London,E12000007,79834
1995-07-01,East Midlands,E12000004,43617
1995-07-01,East of England,E12000006,55699
1995-07-01,West Midlands Region,E12000005,47164
1995-07-01,South West,E12000009,51748
1995-07-01,Yorkshire and The Humber,E12000003,42198
1995-07-01,England and Wales,K04000001,49332
1995-08-01,England,E92000001,49552
1995-08-01,Wales,W92000004,40092
1995-08-01,East of England,E12000006,55227
1995-08-01,East Midlands,E12000004,43373
1995-08-01,West Midlands Region,E12000005,46524
1995-08-01,South West,E12000009,51669
1995-08-01,South East,E12000008,64095
1995-08-01,Yorkshire and The Humber,E12000003,41904
1995-08-01,North West,E12000002,40378
1995-08-01,North East,E12000001,39008
1995-08-01,London,E12000007,79928
1995-08-01,England and Wales,K04000001,48910
1995-09-01,England,E92000001,49660
1995-09-01,Wales,W92000004,40311
1995-09-01,London,E12000007,79347
1995-09-01,South West,E12000009,51668
1995-09-01,North West,E12000002,40320
1995-09-01,North East,E12000001,39396
1995-09-01,Yorkshire and The Humber,E12000003,41954
1995-09-01,South East,E12000008,64210
1995-09-01,West Midlands Region,E12000005,46805
1995-09-01,East of England,E12000006,55086
1995-09-01,East Midlands,E12000004,43525
1995-09-01,England and Wales,K04000001,49026
1995-10-01,England,E92000001,49617
1995-10-01,Wales,W92000004,39780
1995-10-01,North West,E12000002,39839
1995-10-01,East of England,E12000006,54566
1995-10-01,South West,E12000009,51787
1995-10-01,East Midlands,E12000004,43436
1995-10-01,London,E12000007,79920
1995-10-01,West Midlands Region,E12000005,47275
1995-10-01,Yorkshire and The Humber,E12000003,41910
1995-10-01,South East,E12000008,64180
1995-10-01,North East,E12000001,39525
1995-10-01,England and Wales,K04000001,48954
1995-11-01,Wales,W92000004,40114
1995-11-01,England,E92000001,49482
1995-11-01,London,E12000007,80117
1995-11-01,North East,E12000001,39553
1995-11-01,Yorkshire and The Humber,E12000003,41654
1995-11-01,East of England,E12000006,55209
1995-11-01,South East,E12000008,64558
1995-11-01,East Midlands,E12000004,42953
1995-11-01,South West,E12000009,51479
1995-11-01,North West,E12000002,40112
1995-11-01,West Midlands Region,E12000005,46303
1995-11-01,England and Wales,K04000001,48886
1995-12-01,Wales,W92000004,39581
1995-12-01,England,E92000001,49742
1995-12-01,London,E12000007,80861
1995-12-01,East Midlands,E12000004,43730
1995-12-01,North East,E12000001,39930
1995-12-01,West Midlands Region,E12000005,46809
1995-12-01,Yorkshire and The Humber,E12000003,41976
1995-12-01,South East,E12000008,64725
1995-12-01,North West,E12000002,40174
1995-12-01,East of England,E12000006,54865
1995-12-01,South West,E12000009,51571
1995-12-01,England and Wales,K04000001,49079
1996-01-01,England,E92000001,49790
1996-01-01,Wales,W92000004,39976
1996-01-01,Yorkshire and The Humber,E12000003,41538
1996-01-01,East of England,E12000006,54917
1996-01-01,East Midlands,E12000004,43475
1996-01-01,North West,E12000002,40108
1996-01-01,South East,E12000008,65139
1996-01-01,West Midlands Region,E12000005,46378
1996-01-01,South West,E12000009,51678
1996-01-01,London,E12000007,80601
1996-01-01,North East,E12000001,39306
1996-01-01,England and Wales,K04000001,49165
1996-02-01,England,E92000001,50375
1996-02-01,Wales,W92000004,39892
1996-02-01,South West,E12000009,51882
1996-02-01,North East,E12000001,39364
1996-02-01,London,E12000007,83170
1996-02-01,South East,E12000008,65274
1996-02-01,West Midlands Region,E12000005,47086
1996-02-01,Yorkshire and The Humber,E12000003,41987
1996-02-01,East Midlands,E12000004,43435
1996-02-01,East of England,E12000006,55319
1996-02-01,North West,E12000002,40623
1996-02-01,England and Wales,K04000001,49483
1996-03-01,Wales,W92000004,39706
1996-03-01,England,E92000001,50090
1996-03-01,South West,E12000009,52242
1996-03-01,South East,E12000008,65203
1996-03-01,East of England,E12000006,55424
1996-03-01,Yorkshire and The Humber,E12000003,41873
1996-03-01,London,E12000007,81744
1996-03-01,North East,E12000001,39864
1996-03-01,East Midlands,E12000004,43987
1996-03-01,West Midlands Region,E12000005,47134
1996-03-01,North West,E12000002,40503
1996-03-01,England and Wales,K04000001,49416
1996-04-01,Wales,W92000004,40322
1996-04-01,England,E92000001,50202
1996-04-01,East of England,E12000006,55534
1996-04-01,East Midlands,E12000004,43762
1996-04-01,South East,E12000008,65628
1996-04-01,North West,E12000002,40145
1996-04-01,North East,E12000001,39492
1996-04-01,South West,E12000009,52490
1996-04-01,Yorkshire and The Humber,E12000003,41866
1996-04-01,London,E12000007,82259
1996-04-01,West Midlands Region,E12000005,46876
1996-04-01,England and Wales,K04000001,49504
1996-05-01,England,E92000001,50380
1996-05-01,Wales,W92000004,40292
1996-05-01,West Midlands Region,E12000005,47540
1996-05-01,East of England,E12000006,55530
1996-05-01,North East,E12000001,40176
1996-05-01,Yorkshire and The Humber,E12000003,42022
1996-05-01,South East,E12000008,65787
1996-05-01,South West,E12000009,52681
1996-05-01,North West,E12000002,40345
1996-05-01,London,E12000007,82250
1996-05-01,East Midlands,E12000004,43767
1996-05-01,England and Wales,K04000001,49699
1996-06-01,England,E92000001,50514
1996-06-01,Wales,W92000004,40177
1996-06-01,North East,E12000001,40006
1996-06-01,North West,E12000002,40382
1996-06-01,East of England,E12000006,55781
1996-06-01,Yorkshire and The Humber,E12000003,42131
1996-06-01,London,E12000007,83015
1996-06-01,South West,E12000009,52865
1996-06-01,West Midlands Region,E12000005,47279
1996-06-01,South East,E12000008,65999
1996-06-01,East Midlands,E12000004,44205
1996-06-01,England and Wales,K04000001,49818
1996-07-01,Wales,W92000004,40375
1996-07-01,England,E92000001,50710
1996-07-01,Yorkshire and The Humber,E12000003,42327
1996-07-01,South East,E12000008,66567
1996-07-01,North West,E12000002,40600
1996-07-01,London,E12000007,82800
1996-07-01,East of England,E12000006,55529
1996-07-01,North East,E12000001,39901
1996-07-01,West Midlands Region,E12000005,47704
1996-07-01,East Midlands,E12000004,44127
1996-07-01,South West,E12000009,53307
1996-07-01,England and Wales,K04000001,50024
1996-08-01,England,E92000001,50957
1996-08-01,Wales,W92000004,40505
1996-08-01,London,E12000007,83655
1996-08-01,North West,E12000002,40752
1996-08-01,Yorkshire and The Humber,E12000003,42269
1996-08-01,North East,E12000001,40373
1996-08-01,East Midlands,E12000004,44454
1996-08-01,West Midlands Region,E12000005,48023
1996-08-01,East of England,E12000006,56441
1996-08-01,South East,E12000008,66562
1996-08-01,South West,E12000009,53364
1996-08-01,England and Wales,K04000001,50254
1996-09-01,Wales,W92000004,40272
1996-09-01,England,E92000001,51231
1996-09-01,South East,E12000008,67021
1996-09-01,North West,E12000002,40824
1996-09-01,London,E12000007,84405
1996-09-01,East of England,E12000006,56357
1996-09-01,East Midlands,E12000004,44646
1996-09-01,South West,E12000009,53726
1996-09-01,West Midlands Region,E12000005,48247
1996-09-01,North East,E12000001,40556
1996-09-01,Yorkshire and The Humber,E12000003,42229
1996-09-01,England and Wales,K04000001,50503
1996-10-01,Wales,W92000004,41037
1996-10-01,England,E92000001,51532
1996-10-01,East Midlands,E12000004,44732
1996-10-01,South East,E12000008,67153
1996-10-01,London,E12000007,85463
1996-10-01,West Midlands Region,E12000005,48590
1996-10-01,Yorkshire and The Humber,E12000003,42419
1996-10-01,North East,E12000001,40307
1996-10-01,East of England,E12000006,56944
1996-10-01,South West,E12000009,54281
1996-10-01,North West,E12000002,41090
1996-10-01,England and Wales,K04000001,50824
1996-11-01,Wales,W92000004,40756
1996-11-01,England,E92000001,52001
1996-11-01,East Midlands,E12000004,45168
1996-11-01,East of England,E12000006,57729
1996-11-01,South East,E12000008,68132
1996-11-01,Yorkshire and The Humber,E12000003,43021
1996-11-01,North East,E12000001,40554
1996-11-01,West Midlands Region,E12000005,49251
1996-11-01,London,E12000007,86597
1996-11-01,South West,E12000009,54660
1996-11-01,North West,E12000002,41136
1996-11-01,England and Wales,K04000001,51287
1996-12-01,Wales,W92000004,41410
1996-12-01,England,E92000001,52411
1996-12-01,North West,E12000002,41324
1996-12-01,North East,E12000001,40252
1996-12-01,London,E12000007,87572
1996-12-01,East Midlands,E12000004,45658
1996-12-01,East of England,E12000006,58244
1996-12-01,South East,E12000008,69242
1996-12-01,South West,E12000009,55298
1996-12-01,Yorkshire and The Humber,E12000003,42733
1996-12-01,West Midlands Region,E12000005,49079
1996-12-01,England and Wales,K04000001,51700
1997-01-01,England,E92000001,53022
1997-01-01,Wales,W92000004,40904
1997-01-01,North East,E12000001,40745
1997-01-01,London,E12000007,88979
1997-01-01,North West,E12000002,41509
1997-01-01,South East,E12000008,70140
1997-01-01,Yorkshire and The Humber,E12000003,42986
1997-01-01,South West,E12000009,55918
1997-01-01,East Midlands,E12000004,45534
1997-01-01,East of England,E12000006,58902
1997-01-01,West Midlands Region,E12000005,49425
1997-01-01,England and Wales,K04000001,52257
1997-02-01,England,E92000001,53873
1997-02-01,Wales,W92000004,42480
1997-02-01,West Midlands Region,E12000005,49826
1997-02-01,Yorkshire and The Humber,E12000003,42885
1997-02-01,London,E12000007,91231
1997-02-01,South West,E12000009,56503
1997-02-01,South East,E12000008,71284
1997-02-01,North East,E12000001,41269
1997-02-01,East of England,E12000006,59720
1997-02-01,East Midlands,E12000004,46216
1997-02-01,North West,E12000002,42208
1997-02-01,England and Wales,K04000001,52974
1997-03-01,England,E92000001,54031
1997-03-01,Wales,W92000004,42256
1997-03-01,South East,E12000008,72263
1997-03-01,West Midlands Region,E12000005,50323
1997-03-01,East of England,E12000006,60286
1997-03-01,East Midlands,E12000004,46369
1997-03-01,North West,E12000002,42306
1997-03-01,Yorkshire and The Humber,E12000003,43288
1997-03-01,London,E12000007,91369
1997-03-01,South West,E12000009,57032
1997-03-01,North East,E12000001,40781
1997-03-01,England and Wales,K04000001,53271
1997-04-01,Wales,W92000004,41432
1997-04-01,England,E92000001,54206
1997-04-01,North West,E12000002,41551
1997-04-01,West Midlands Region,E12000005,50496
1997-04-01,North East,E12000001,41694
1997-04-01,South West,E12000009,57180
