"type","order_no","reg_charity_number","charity_name","Income - Donations and legacies","Income - Other trading activities","Income - Investments","Income - Charitable activities","Income - Other","Income - Total","Investment gains (losses)","Income - growth","Expenditure - Raising funds","Expenditure - Charitable","Expenditure - Other","Expenditure - Total","Expenditure - Growth","Own use assets","Long-term investments","Define benefit pension scheme or liability","Other assets","Total liabilities","Trustees","Employees","Volunteers"
"INCOME","1","205533","NUFFIELD HEALTH","2700000","30000000","0","1420400000","0","1453100000","0","95000000","30400000","1459100000","0","1422100000","67400000","1688800000","200000","-19000000","150300000","756100000","9","19361","0"
"INCOME","2","268369","THE CHARITIES AID FOUNDATION","1263773000","0","100010000","26806000","0","1390589000","16277000","195766000","0","1231327000","0","1160615000","70712000","19386000","1045640000","0","2564749000","1523635000","10","768","30"
"INCOME","3","1076822","SAVE THE CHILDREN INTERNATIONAL","1091824615","0","8111040","0","3600908","1103536563","0","-112806047","1759766","1179057738","0","1180817504","-41758846","27823010","0","0","319620570","260039560","16","16153","0"
"INCOME","4","209131","THE BRITISH COUNCIL","173000000","293167","12457670","786752360","16832733","989335930","-894846","116001103","45181","1038567801","16124866","925158978","129578870","374003891","808130","0","613646938","655013137","12","9490","0"
"INCOME","5","1036733","THE ARTS COUNCIL OF ENGLAND","0","0","12057264","580286818","250718595","843062677","61000","39997275","0","731085056","0","756289350","-25204294","14740964","803610","0","373043170","429822054","15","704","0"
"INCOME","6","313999","United Learning LTD","77516000","6417000","6780000","695310000","0","786023000","1288000","50438000","1339000","703282000","0","581589000","123032000","1057398000","13237000","-2203000","247828000","205437000","12","10822","1163"
"INCOME","7","205846","THE NATIONAL TRUST FOR PLACES OF HISTORIC INTEREST OR NATURAL BEAUTY","87106000","83957000","8634000","582474000","4024000","766195000","84654000","42381000","75340000","749037000","0","767677000","56700000","205534000","1543714000","-14457000","185726000","284081000","12","8746","42590"
"INCOME","8","1089464","CANCER RESEARCH UK","530012997","134865435","8099110","59000260","2776000","734753802","2499137","50546355","129559795","452798075","132365919","692424949","22298840","41130240","494859210","16325105","381061346","569974105","13","5169","26000"
"INCOME","9","1136855","CARDIFF UNIVERSITY","4176768","73024410","11706191","537998465","22161908","649067742","-36922337","11733816","2452202","542362402","129593666","674408270","62939270","956775472","17351704","-15197055","488418614","592492517","22","6253","2401"
"INCOME","10","1145988","LLOYD'S REGISTER FOUNDATION","0","546617000","23039000","0","2400000","572056000","47381000","11655000","855000","23895000","564890000","589640000","39533000","577102000","587455000","-127290000","335602000","303700000","9","3764","0"
"EXPENDITURE","1","210183","WELLCOME TRUST","0","0","477396888","27743354","64356809","569497051","1559245529","27664244","96600000","1453419939","76607409","1365367666","-34207326","407963201","39779823041","256300000","101694959","6597523533","1","2377","0"
"EXPENDITURE","2","205533","NUFFIELD HEALTH","2700000","30000000","0","1420400000","0","1453100000","0","95000000","30400000","1459100000","0","1301000000","67400000","1688800000","200000","-19000000","150300000","756100000","9","19361","0"
