Party name,Party abbreviation,Party MNIS ID,Party URL,Constituencies contested,Constituencies contested by party URL,Votes,Vote share,Constituencies won,Constituencies won by party URL
"Labour","Lab",15,https://electionresults.parliament.uk/political-parties/3,631,https://electionresults.parliament.uk/general-elections/6/political-parties/3/elections,9708716,33.6998903827716983,411,https://electionresults.parliament.uk/general-elections/6/political-parties/3/elections/won
"Conservative","Con",4,https://electionresults.parliament.uk/political-parties/1,635,https://electionresults.parliament.uk/general-elections/6/political-parties/1/elections,6828925,23.7038578461012991,121,https://electionresults.parliament.uk/general-elections/6/political-parties/1/elections/won
"Liberal Democrat","LD",17,https://electionresults.parliament.uk/political-parties/4,630,https://electionresults.parliament.uk/general-elections/6/political-parties/4/elections,3519143,12.2152850429756461,72,https://electionresults.parliament.uk/general-elections/6/political-parties/4/elections/won
"Scottish National Party","SNP",29,https://electionresults.parliament.uk/political-parties/11,57,https://electionresults.parliament.uk/general-elections/6/political-parties/11/elections,724758,2.5157049762334021,9,https://electionresults.parliament.uk/general-elections/6/political-parties/11/elections/won
"Sinn Féin","SF",30,https://electionresults.parliament.uk/political-parties/21,14,https://electionresults.parliament.uk/general-elections/6/political-parties/21/elections,210891,0.73202301753528543174,7,https://electionresults.parliament.uk/general-elections/6/political-parties/21/elections/won
"Reform UK","RUK",1036,https://electionresults.parliament.uk/political-parties/257,609,https://electionresults.parliament.uk/general-elections/6/political-parties/257/elections,4117610,14.2926217678016921,5,https://electionresults.parliament.uk/general-elections/6/political-parties/257/elections/won
"Democratic Unionist Party","DUP",7,https://electionresults.parliament.uk/political-parties/20,16,https://electionresults.parliament.uk/general-elections/6/political-parties/20/elections,172058,0.59722992612812372654,5,https://electionresults.parliament.uk/general-elections/6/political-parties/20/elections/won
"Green Party","Green",44,https://electionresults.parliament.uk/political-parties/2,574,https://electionresults.parliament.uk/general-elections/6/political-parties/2/elections,1843124,6.3976613140044166,4,https://electionresults.parliament.uk/general-elections/6/political-parties/2/elections/won
"Plaid Cymru","PC",22,https://electionresults.parliament.uk/political-parties/5,32,https://electionresults.parliament.uk/general-elections/6/political-parties/5/elections,194811,0.67620778539182084699,4,https://electionresults.parliament.uk/general-elections/6/political-parties/5/elections/won
"Social Democratic & Labour Party","SDLP",31,https://electionresults.parliament.uk/political-parties/22,18,https://electionresults.parliament.uk/general-elections/6/political-parties/22/elections,86861,0.30150291537397246865,2,https://electionresults.parliament.uk/general-elections/6/political-parties/22/elections/won
"Alliance","APNI",1,https://electionresults.parliament.uk/political-parties/19,18,https://electionresults.parliament.uk/general-elections/6/political-parties/19/elections,117191,0.40678127301770884026,1,https://electionresults.parliament.uk/general-elections/6/political-parties/19/elections/won
"Ulster Unionist Party","UUP",38,https://electionresults.parliament.uk/political-parties/24,17,https://electionresults.parliament.uk/general-elections/6/political-parties/24/elections,94779,0.32898705766949190783,1,https://electionresults.parliament.uk/general-elections/6/political-parties/24/elections/won
"Traditional Unionist Voice","TUV",158,https://electionresults.parliament.uk/political-parties/69,14,https://electionresults.parliament.uk/general-elections/6/political-parties/69/elections,48685,0.16899033438461276794,1,https://electionresults.parliament.uk/general-elections/6/political-parties/69/elections/won
"Workers Party of Britain","WPB",1042,https://electionresults.parliament.uk/political-parties/261,152,https://electionresults.parliament.uk/general-elections/6/political-parties/261/elections,210252,0.72980498685495745477,0,https://electionresults.parliament.uk/general-elections/6/political-parties/261/elections/won
"Scottish Green Party","Green",1057,https://electionresults.parliament.uk/political-parties/255,44,https://electionresults.parliament.uk/general-elections/6/political-parties/255/elections,92685,0.32171858154334670631,0,https://electionresults.parliament.uk/general-elections/6/political-parties/255/elections/won
"Social Democratic Party","SDP",32,https://electionresults.parliament.uk/political-parties/38,122,https://electionresults.parliament.uk/general-elections/6/political-parties/38/elections,33811,0.11736124465190802705,0,https://electionresults.parliament.uk/general-elections/6/political-parties/38/elections/won
"The Yorkshire Party","Yrks",262,https://electionresults.parliament.uk/political-parties/129,27,https://electionresults.parliament.uk/general-elections/6/political-parties/129/elections,17236,0.05982781972790768549,0,https://electionresults.parliament.uk/general-elections/6/political-parties/129/elections/won
"Independent Network","INet",1028,https://electionresults.parliament.uk/political-parties/168,5,https://electionresults.parliament.uk/general-elections/6/political-parties/168/elections,13663,0.04742559183931322273,0,https://electionresults.parliament.uk/general-elections/6/political-parties/168/elections/won
"Trade Unionist and Socialist Coalition","TUSC",157,https://electionresults.parliament.uk/political-parties/7,40,https://electionresults.parliament.uk/general-elections/6/political-parties/7/elections,12901,0.0447806162862460577,0,https://electionresults.parliament.uk/general-elections/6/political-parties/7/elections/won
"Alba Party","Alba",1034,https://electionresults.parliament.uk/political-parties/258,19,https://electionresults.parliament.uk/general-elections/6/political-parties/258/elections,11784,0.04090340146633001658,0,https://electionresults.parliament.uk/general-elections/6/political-parties/258/elections/won
"Rejoin EU","REU",1040,https://electionresults.parliament.uk/political-parties/266,26,https://electionresults.parliament.uk/general-elections/6/political-parties/266/elections,9288,0.03223954453659820044,0,https://electionresults.parliament.uk/general-elections/6/political-parties/266/elections/won
"Green Party Northern Ireland","Green",1113,https://electionresults.parliament.uk/political-parties/267,11,https://electionresults.parliament.uk/general-elections/6/political-parties/267/elections,8692,0.03017077100690262255,0,https://electionresults.parliament.uk/general-elections/6/political-parties/267/elections/won
