Year ending [note 1],Notes,Units,Cars and Taxis,Light Commercial Vehicles [note 3],Heavy Goods Vehicles [note 4],Other Vehicles [note 5],All Motor Vehicles
December 1994,[no notes],Billion vehicle miles,214.4,26.9,15.4,5.2,261.9
March 1995,[no notes],Billion vehicle miles,215.3,27.1,15.5,5.2,263.2
June 1995,[no notes],Billion vehicle miles,216.4,27.4,15.6,5.3,264.7
September 1995,[no notes],Billion vehicle miles,217.5,27.6,15.7,5.3,266.1
December 1995,[no notes],Billion vehicle miles,218.2,27.7,15.8,5.4,267.0
March 1996,[no notes],Billion vehicle miles,219.7,27.9,15.9,5.4,268.9
June 1996,[no notes],Billion vehicle miles,221.1,28.1,16.0,5.4,270.6
September 1996,[no notes],Billion vehicle miles,222.6,28.4,16.2,5.4,272.5
December 1996,[no notes],Billion vehicle miles,223.6,28.7,16.3,5.5,274.1
March 1997,[no notes],Billion vehicle miles,224.1,28.8,16.3,5.5,274.7
June 1997,[no notes],Billion vehicle miles,225.3,29.3,16.4,5.5,276.5
September 1997,[no notes],Billion vehicle miles,225.9,29.7,16.6,5.6,277.8
December 1997,[no notes],Billion vehicle miles,227.3,30.2,16.7,5.7,279.8
March 1998,[no notes],Billion vehicle miles,228.5,30.7,16.9,5.7,281.8
June 1998,[no notes],Billion vehicle miles,228.7,30.9,17.0,5.8,282.4
September 1998,[no notes],Billion vehicle miles,229.5,31.3,17.1,5.8,283.8
December 1998,[no notes],Billion vehicle miles,230.3,31.6,17.2,5.8,284.9
March 1999,[no notes],Billion vehicle miles,231.2,31.7,17.3,5.8,286.0
June 1999,[no notes],Billion vehicle miles,232.5,31.9,17.3,5.9,287.6
September 1999,[no notes],Billion vehicle miles,233.4,32.0,17.4,6.0,288.8
December 1999,[no notes],Billion vehicle miles,234.5,32.1,17.5,6.1,290.2
March 2000,[no notes],Billion vehicle miles,235.8,32.2,17.6,6.1,291.7
June 2000,[no notes],Billion vehicle miles,235.8,32.4,17.7,6.1,291.9
September 2000,[note 6],Billion vehicle miles,233.9,32.3,17.6,6.0,289.8
December 2000,[no notes],Billion vehicle miles,233.5,32.4,17.5,6.0,289.6
March 2001,[note 7],Billion vehicle miles,233.0,32.5,17.4,6.0,288.8
June 2001,[note 7],Billion vehicle miles,233.4,32.7,17.4,6.0,289.5
September 2001,[note 7],Billion vehicle miles,235.4,32.9,17.4,6.0,291.8
December 2001,[note 7],Billion vehicle miles,236.7,33.2,17.4,6.2,293.5
March 2002,[no notes],Billion vehicle miles,238.2,33.2,17.5,6.3,295.3
June 2002,[no notes],Billion vehicle miles,239.5,33.3,17.5,6.4,296.7
September 2002,[no notes],Billion vehicle miles,241.4,33.7,17.6,6.4,299.1
December 2002,[no notes],Billion vehicle miles,242.4,34.0,17.6,6.3,300.2
March 2003,[no notes],Billion vehicle miles,242.2,34.5,17.7,6.4,300.8
June 2003,[no notes],Billion vehicle miles,241.9,34.9,17.6,6.5,301.0
September 2003,[no notes],Billion vehicle miles,241.8,35.3,17.6,6.7,301.5
December 2003,[no notes],Billion vehicle miles,242.0,35.7,17.7,6.7,302.0
March 2004,[no notes],Billion vehicle miles,242.9,36.2,17.8,6.6,303.4
June 2004,[no notes],Billion vehicle miles,243.8,36.5,17.9,6.6,304.8
September 2004,[no notes],Billion vehicle miles,243.4,36.8,18.0,6.4,304.7
December 2004,[no notes],Billion vehicle miles,243.9,37.3,18.2,6.3,305.7
March 2005,[no notes],Billion vehicle miles,243.1,37.3,18.1,6.3,304.9
June 2005,[no notes],Billion vehicle miles,243.1,37.7,18.2,6.4,305.3
September 2005,[no notes],Billion vehicle miles,243.3,38.0,18.1,6.4,305.9
December 2005,[no notes],Billion vehicle miles,243.1,38.3,18.0,6.4,305.8
March 2006,[no notes],Billion vehicle miles,243.9,39.3,18.1,6.5,307.7
June 2006,[no notes],Billion vehicle miles,244.1,39.7,18.0,6.5,308.3
September 2006,[no notes],Billion vehicle miles,244.6,39.9,18.1,6.4,309.0
December 2006,[no notes],Billion vehicle miles,246.0,39.9,18.1,6.4,310.4
March 2007,[no notes],Billion vehicle miles,246.8,39.9,18.0,6.5,311.3
June 2007,[no notes],Billion vehicle miles,247.2,40.5,18.1,6.6,312.4
September 2007,[no notes],Billion vehicle miles,247.0,41.1,18.1,6.7,312.9
December 2007,[no notes],Billion vehicle miles,246.5,41.9,18.2,6.7,313.3
March 2008,[no notes],Billion vehicle miles,246.8,42.0,18.3,6.6,313.7
June 2008,[no notes],Billion vehicle miles,246.5,42.1,18.2,6.5,313.3
September 2008,[no notes],Billion vehicle miles,245.5,41.9,18.1,6.4,311.8
December 2008,[no notes],Billion vehicle miles,244.8,41.6,17.8,6.2,310.5
March 2009,[note 8],Billion vehicle miles,243.3,41.3,17.4,6.2,308.2
June 2009,[no notes],Billion vehicle miles,243.4,41.0,16.9,6.2,307.6
September 2009,[no notes],Billion vehicle miles,244.4,40.9,16.6,6.2,308.1
December 2009,[no notes],Billion vehicle miles,243.9,40.7,16.4,6.3,307.3
March 2010,[note 8],Billion vehicle miles,242.5,40.8,16.3,6.2,305.8
June 2010,[no notes],Billion vehicle miles,242.0,40.8,16.4,6.2,305.4
September 2010,[no notes],Billion vehicle miles,241.9,41.1,16.4,6.1,305.6
December 2010,[note 8],Billion vehicle miles,239.6,41.2,16.4,6.0,303.2
March 2011,[no notes],Billion vehicle miles,240.6,41.3,16.3,6.0,304.2
June 2011,[no notes],Billion vehicle miles,239.7,41.3,16.2,5.9,303.2
September 2011,[no notes],Billion vehicle miles,239.0,41.3,16.1,5.8,302.2
December 2011,[no notes],Billion vehicle miles,241.0,41.6,16.0,5.8,304.3
March 2012,[no notes],Billion vehicle miles,241.8,41.9,16.0,5.7,305.4
