Year ending [note 1],Notes,Units,Major Roads: Motorways,Major Roads: Rural 'A' Roads [note 3],Major Roads: Urban 'A' Roads [note 3],Minor Roads: Rural [note 3],Minor Roads: Urban [note 3],All Roads
December 1994,[no notes],Billion vehicle miles,44.0,72.4,48.8,35.8,61.0,261.9
March 1995,[no notes],Billion vehicle miles,44.4,72.9,49.0,35.8,61.1,263.2
June 1995,[no notes],Billion vehicle miles,45.0,73.5,49.3,35.7,61.2,264.7
September 1995,[no notes],Billion vehicle miles,45.5,74.0,49.6,35.9,61.2,266.1
December 1995,[no notes],Billion vehicle miles,45.9,74.3,49.7,35.9,61.2,267.0
March 1996,[no notes],Billion vehicle miles,46.6,74.8,50.0,36.1,61.5,268.9
June 1996,[no notes],Billion vehicle miles,47.2,75.5,50.0,36.3,61.6,270.6
September 1996,[no notes],Billion vehicle miles,48.0,76.1,50.2,36.4,61.8,272.5
December 1996,[no notes],Billion vehicle miles,48.6,76.7,50.3,36.6,61.9,274.1
March 1997,[no notes],Billion vehicle miles,49.0,77.1,50.1,36.7,61.8,274.7
June 1997,[no notes],Billion vehicle miles,49.7,77.7,50.3,36.9,62.0,276.5
September 1997,[no notes],Billion vehicle miles,50.3,78.1,50.2,37.1,62.0,277.8
December 1997,[no notes],Billion vehicle miles,51.0,78.7,50.3,37.3,62.5,279.8
March 1998,[no notes],Billion vehicle miles,51.8,79.1,50.6,37.5,62.8,281.8
June 1998,[no notes],Billion vehicle miles,52.2,79.1,50.4,37.6,63.1,282.4
September 1998,[no notes],Billion vehicle miles,52.8,79.5,50.4,37.5,63.6,283.8
December 1998,[no notes],Billion vehicle miles,53.3,79.9,50.5,37.5,63.6,284.9
March 1999,[no notes],Billion vehicle miles,53.6,80.2,50.6,37.6,64.0,286.0
June 1999,[no notes],Billion vehicle miles,54.0,80.6,50.7,37.7,64.5,287.6
September 1999,[no notes],Billion vehicle miles,54.4,81.0,50.8,37.9,64.7,288.8
December 1999,[no notes],Billion vehicle miles,54.6,81.2,50.9,38.1,65.4,290.2
March 2000,[no notes],Billion vehicle miles,54.8,81.6,51.1,38.4,65.8,291.7
June 2000,[no notes],Billion vehicle miles,54.8,81.7,51.2,38.5,65.7,291.9
September 2000,[note 4],Billion vehicle miles,54.5,80.8,50.9,38.3,65.4,289.8
December 2000,[no notes],Billion vehicle miles,54.9,80.8,50.7,38.2,64.9,289.6
March 2001,[note 5],Billion vehicle miles,55.1,80.8,50.4,37.8,64.7,288.8
June 2001,[note 5],Billion vehicle miles,55.4,81.4,50.4,37.7,64.6,289.5
September 2001,[note 5],Billion vehicle miles,56.1,82.3,50.7,38.0,64.8,291.8
December 2001,[note 5],Billion vehicle miles,56.4,82.8,50.9,38.2,65.2,293.5
March 2002,[no notes],Billion vehicle miles,56.8,83.2,51.2,38.6,65.5,295.3
June 2002,[no notes],Billion vehicle miles,57.1,83.4,51.1,39.1,66.1,296.7
September 2002,[no notes],Billion vehicle miles,57.5,84.3,51.1,39.6,66.7,299.1
December 2002,[no notes],Billion vehicle miles,57.6,84.7,51.1,40.0,66.9,300.2
March 2003,[no notes],Billion vehicle miles,57.7,85.2,51.0,40.0,66.9,300.8
June 2003,[no notes],Billion vehicle miles,57.7,85.7,50.9,39.8,66.8,301.0
September 2003,[no notes],Billion vehicle miles,57.9,86.1,50.8,39.8,66.9,301.5
December 2003,[no notes],Billion vehicle miles,57.8,86.5,50.8,39.9,67.0,302.0
March 2004,[no notes],Billion vehicle miles,58.2,87.1,51.1,40.3,66.7,303.4
June 2004,[no notes],Billion vehicle miles,58.8,87.6,51.3,40.6,66.5,304.8
September 2004,[no notes],Billion vehicle miles,59.2,87.5,51.3,40.6,66.1,304.7
December 2004,[no notes],Billion vehicle miles,60.0,87.8,51.5,40.8,65.6,305.7
March 2005,[no notes],Billion vehicle miles,60.1,87.6,51.1,40.8,65.4,304.9
June 2005,[no notes],Billion vehicle miles,60.3,87.5,51.0,41.0,65.4,305.3
September 2005,[no notes],Billion vehicle miles,60.3,87.7,51.0,41.3,65.6,305.9
December 2005,[no notes],Billion vehicle miles,60.3,87.8,50.8,41.4,65.5,305.8
March 2006,[no notes],Billion vehicle miles,60.6,88.4,50.9,41.9,65.8,307.7
June 2006,[no notes],Billion vehicle miles,60.9,88.7,50.9,42.3,65.6,308.3
